x,y,T
0.0130653,0.000606061,293.485
0.0135678,0.000606061,293.495
0.0140704,0.000606061,293.506
0.0145729,0.000606061,293.517
0.0150754,0.000606061,293.529
0.0155779,0.000606061,293.541
0.0160804,0.000606061,293.553
0.0165829,0.000606061,293.566
0.0170854,0.000606061,293.579
0.0175879,0.000606061,293.592
0.0180905,0.000606061,293.606
0.018593,0.000606061,293.62
0.0190955,0.000606061,293.635
0.019598,0.000606061,293.65
0.0201005,0.000606061,293.665
0.020603,0.000606061,293.68
0.0211055,0.000606061,293.696
0.021608,0.000606061,293.712
0.0221106,0.000606061,293.729
0.0226131,0.000606061,293.746
0.0231156,0.000606061,293.763
0.0236181,0.000606061,293.78
0.0241206,0.000606061,293.798
0.0246231,0.000606061,293.815
0.0251256,0.000606061,293.833
0.0256281,0.000606061,293.852
0.0261307,0.000606061,293.87
0.0266332,0.000606061,293.889
0.0271357,0.000606061,293.907
0.0276382,0.000606061,293.926
0.0281407,0.000606061,293.945
0.0286432,0.000606061,293.964
0.0291457,0.000606061,293.983
0.0296482,0.000606061,294.002
0.0301508,0.000606061,294.021
0.0306533,0.000606061,294.04
0.0311558,0.000606061,294.059
0.0316583,0.000606061,294.078
0.0321608,0.000606061,294.096
0.0326633,0.000606061,294.115
0.0331658,0.000606061,294.133
0.0336683,0.000606061,294.152
0.0341709,0.000606061,294.17
0.0346734,0.000606061,294.187
0.0351759,0.000606061,294.205
0.0356784,0.000606061,294.222
0.0361809,0.000606061,294.239
0.0366834,0.000606061,294.255
0.0371859,0.000606061,294.271
0.0376884,0.000606061,294.287
0.038191,0.000606061,294.302
0.0386935,0.000606061,294.317
0.039196,0.000606061,294.331
0.0396985,0.000606061,294.345
0.040201,0.000606061,294.358
0.0407035,0.000606061,294.371
0.041206,0.000606061,294.383
0.0417085,0.000606061,294.395
0.0422111,0.000606061,294.406
0.0427136,0.000606061,294.416
0.0432161,0.000606061,294.426
0.0437186,0.000606061,294.435
0.0442211,0.000606061,294.443
0.0447236,0.000606061,294.451
0.0452261,0.000606061,294.458
0.0457286,0.000606061,294.464
0.0462312,0.000606061,294.47
0.0467337,0.000606061,294.475
0.0472362,0.000606061,294.479
0.0477387,0.000606061,294.482
0.0482412,0.000606061,294.485
0.0487437,0.000606061,294.487
0.0492462,0.000606061,294.488
0.0497487,0.000606061,294.489
0.0502513,0.000606061,294.488
0.0507538,0.000606061,294.487
0.0512563,0.000606061,294.485
0.0517588,0.000606061,294.483
0.0522613,0.000606061,294.479
0.0527638,0.000606061,294.475
0.0532663,0.000606061,294.471
0.0537688,0.000606061,294.465
0.0542714,0.000606061,294.459
0.0547739,0.000606061,294.452
0.0552764,0.000606061,294.445
0.0557789,0.000606061,294.436
0.0562814,0.000606061,294.427
0.0567839,0.000606061,294.418
0.0572864,0.000606061,294.407
0.0577889,0.000606061,294.397
0.0582915,0.000606061,294.385
0.058794,0.000606061,294.373
0.0592965,0.000606061,294.36
0.059799,0.000606061,294.347
0.0603015,0.000606061,294.334
0.060804,0.000606061,294.319
0.0613065,0.000606061,294.305
0.061809,0.000606061,294.289
0.0623116,0.000606061,294.274
0.0628141,0.000606061,294.258
0.0633166,0.000606061,294.241
0.0638191,0.000606061,294.225
0.0643216,0.000606061,294.208
0.0648241,0.000606061,294.19
0.0653266,0.000606061,294.172
0.0658291,0.000606061,294.154
0.0663317,0.000606061,294.136
0.0668342,0.000606061,294.118
0.0673367,0.000606061,294.099
0.0678392,0.000606061,294.081
0.0683417,0.000606061,294.062
0.0688442,0.000606061,294.043
0.0693467,0.000606061,294.024
0.0698492,0.000606061,294.005
0.0703518,0.000606061,293.986
0.0708543,0.000606061,293.967
0.0713568,0.000606061,293.948
0.0718593,0.000606061,293.929
0.0723618,0.000606061,293.91
0.0728643,0.000606061,293.892
0.0733668,0.000606061,293.873
0.0738693,0.000606061,293.855
0.0743719,0.000606061,293.837
0.0748744,0.000606061,293.819
0.0753769,0.000606061,293.801
0.0758794,0.000606061,293.783
0.0763819,0.000606061,293.766
0.0768844,0.000606061,293.749
0.0773869,0.000606061,293.732
0.0778894,0.000606061,293.715
0.078392,0.000606061,293.699
0.0788945,0.000606061,293.683
0.079397,0.000606061,293.668
0.0798995,0.000606061,293.652
0.080402,0.000606061,293.637
0.0809045,0.000606061,293.623
0.081407,0.000606061,293.608
0.0819095,0.000606061,293.594
0.0824121,0.000606061,293.581
0.0829146,0.000606061,293.568
0.0834171,0.000606061,293.555
0.0839196,0.000606061,293.542
0.0844221,0.000606061,293.53
0.0849246,0.000606061,293.519
0.0854271,0.000606061,293.507
0.0859296,0.000606061,293.496
0.0864322,0.000606061,293.486
0.0869347,0.000606061,293.476
0.0874372,0.000606061,293.466
0.0879397,0.000606061,293.457
0.0884422,0.000606061,293.448
0.0889447,0.000606061,293.439
0.0894472,0.000606061,293.431
0.0899497,0.000606061,293.423
0.0904523,0.000606061,293.415
0.0909548,0.000606061,293.408
0.0914573,0.000606061,293.401
0.0919598,0.000606061,293.395
0.0924623,0.000606061,293.389
0.0929648,0.000606061,293.384
0.0934673,0.000606061,293.378
0.0939698,0.000606061,293.374
0.0944724,0.000606061,293.369
0.0949749,0.000606061,293.365
0.0954774,0.000606061,293.361
0.0959799,0.000606061,293.358
0.0964824,0.000606061,293.355
0.0969849,0.000606061,293.352
0.0974874,0.000606061,293.35
0.0979899,0.000606061,293.348
0.0984925,0.000606061,293.346
0.098995,0.000606061,293.345
0.0994975,0.000606061,293.344
0.1,0.000606061,293.344
0,0.00121212,293.349
0.000502513,0.00121212,293.35
0.00100503,0.00121212,293.351
0.00150754,0.00121212,293.352
0.00201005,0.00121212,293.354
0.00251256,0.00121212,293.356
0.00301508,0.00121212,293.358
0.00351759,0.00121212,293.361
0.0040201,0.00121212,293.364
0.00452261,0.00121212,293.368
0.00502513,0.00121212,293.371
0.00552764,0.00121212,293.376
0.00603015,0.00121212,293.38
0.00653266,0.00121212,293.385
0.00703518,0.00121212,293.391
0.00753769,0.00121212,293.396
0.0080402,0.00121212,293.403
0.00854271,0.00121212,293.409
0.00904523,0.00121212,293.416
0.00954774,0.00121212,293.423
0.0100503,0.00121212,293.431
0.0105528,0.00121212,293.439
0.0110553,0.00121212,293.448
0.0115578,0.00121212,293.457
0.0120603,0.00121212,293.466
0.0125628,0.00121212,293.475
0.0130653,0.00121212,293.486
0.0135678,0.00121212,293.496
0.0140704,0.00121212,293.507
0.0145729,0.00121212,293.518
0.0150754,0.00121212,293.53
0.0155779,0.00121212,293.542
0.0160804,0.00121212,293.554
0.0165829,0.00121212,293.567
0.0170854,0.00121212,293.58
0.0175879,0.00121212,293.593
0.0180905,0.00121212,293.607
0.018593,0.00121212,293.622
0.0190955,0.00121212,293.636
0.019598,0.00121212,293.651
0.0201005,0.00121212,293.666
0.020603,0.00121212,293.682
0.0211055,0.00121212,293.698
0.021608,0.00121212,293.714
0.0221106,0.00121212,293.731
0.0226131,0.00121212,293.748
0.0231156,0.00121212,293.765
0.0236181,0.00121212,293.782
0.0241206,0.00121212,293.8
0.0246231,0.00121212,293.818
0.0251256,0.00121212,293.836
0.0256281,0.00121212,293.854
0.0261307,0.00121212,293.872
0.0266332,0.00121212,293.891
0.0271357,0.00121212,293.91
0.0276382,0.00121212,293.929
0.0281407,0.00121212,293.948
0.0286432,0.00121212,293.967
0.0291457,0.00121212,293.986
0.0296482,0.00121212,294.005
0.0301508,0.00121212,294.024
0.0306533,0.00121212,294.043
0.0311558,0.00121212,294.062
0.0316583,0.00121212,294.081
0.0321608,0.00121212,294.1
0.0326633,0.00121212,294.119
0.0331658,0.00121212,294.137
0.0336683,0.00121212,294.155
0.0341709,0.00121212,294.173
0.0346734,0.00121212,294.191
0.0351759,0.00121212,294.209
0.0356784,0.00121212,294.226
0.0361809,0.00121212,294.243
0.0366834,0.00121212,294.26
0.0371859,0.00121212,294.276
0.0376884,0.00121212,294.292
0.038191,0.00121212,294.307
0.0386935,0.00121212,294.322
0.039196,0.00121212,294.336
0.0396985,0.00121212,294.35
0.040201,0.00121212,294.363
0.0407035,0.00121212,294.376
0.041206,0.00121212,294.388
0.0417085,0.00121212,294.4
0.0422111,0.00121212,294.411
0.0427136,0.00121212,294.421
0.0432161,0.00121212,294.431
0.0437186,0.00121212,294.44
0.0442211,0.00121212,294.449
0.0447236,0.00121212,294.456
0.0452261,0.00121212,294.463
0.0457286,0.00121212,294.47
0.0462312,0.00121212,294.475
0.0467337,0.00121212,294.48
0.0472362,0.00121212,294.484
0.0477387,0.00121212,294.488
0.0482412,0.00121212,294.491
0.0487437,0.00121212,294.492
0.0492462,0.00121212,294.494
0.0497487,0.00121212,294.494
0.0502513,0.00121212,294.494
0.0507538,0.00121212,294.493
0.0512563,0.00121212,294.491
0.0517588,0.00121212,294.488
0.0522613,0.00121212,294.485
0.0527638,0.00121212,294.481
0.0532663,0.00121212,294.476
0.0537688,0.00121212,294.471
0.0542714,0.00121212,294.464
0.0547739,0.00121212,294.458
0.0552764,0.00121212,294.45
0.0557789,0.00121212,294.442
0.0562814,0.00121212,294.433
0.0567839,0.00121212,294.423
0.0572864,0.00121212,294.413
0.0577889,0.00121212,294.402
0.0582915,0.00121212,294.39
0.058794,0.00121212,294.378
0.0592965,0.00121212,294.365
0.059799,0.00121212,294.352
0.0603015,0.00121212,294.338
0.060804,0.00121212,294.324
0.0613065,0.00121212,294.309
0.061809,0.00121212,294.294
0.0623116,0.00121212,294.278
0.0628141,0.00121212,294.262
0.0633166,0.00121212,294.246
0.0638191,0.00121212,294.229
0.0643216,0.00121212,294.212
0.0648241,0.00121212,294.194
0.0653266,0.00121212,294.176
0.0658291,0.00121212,294.158
0.0663317,0.00121212,294.14
0.0668342,0.00121212,294.122
0.0673367,0.00121212,294.103
0.0678392,0.00121212,294.084
0.0683417,0.00121212,294.065
0.0688442,0.00121212,294.046
0.0693467,0.00121212,294.027
0.0698492,0.00121212,294.008
0.0703518,0.00121212,293.989
0.0708543,0.00121212,293.97
0.0713568,0.00121212,293.951
0.0718593,0.00121212,293.932
0.0723618,0.00121212,293.913
0.0728643,0.00121212,293.894
0.0733668,0.00121212,293.876
0.0738693,0.00121212,293.857
0.0743719,0.00121212,293.839
0.0748744,0.00121212,293.821
0.0753769,0.00121212,293.803
0.0758794,0.00121212,293.785
0.0763819,0.00121212,293.768
0.0768844,0.00121212,293.751
0.0773869,0.00121212,293.734
0.0778894,0.00121212,293.717
0.078392,0.00121212,293.701
0.0788945,0.00121212,293.685
0.079397,0.00121212,293.669
0.0798995,0.00121212,293.654
0.080402,0.00121212,293.639
0.0809045,0.00121212,293.624
0.081407,0.00121212,293.61
0.0819095,0.00121212,293.596
0.0824121,0.00121212,293.582
0.0829146,0.00121212,293.569
0.0834171,0.00121212,293.556
0.0839196,0.00121212,293.544
0.0844221,0.00121212,293.531
0.0849246,0.00121212,293.52
0.0854271,0.00121212,293.508
0.0859296,0.00121212,293.497
0.0864322,0.00121212,293.487
0.0869347,0.00121212,293.477
0.0874372,0.00121212,293.467
0.0879397,0.00121212,293.457
0.0884422,0.00121212,293.448
0.0889447,0.00121212,293.44
0.0894472,0.00121212,293.431
0.0899497,0.00121212,293.423
0.0904523,0.00121212,293.416
0.0909548,0.00121212,293.409
0.0914573,0.00121212,293.402
0.0919598,0.00121212,293.396
0.0924623,0.00121212,293.39
0.0929648,0.00121212,293.384
0.0934673,0.00121212,293.379
0.0939698,0.00121212,293.374
0.0944724,0.00121212,293.37
0.0949749,0.00121212,293.366
0.0954774,0.00121212,293.362
0.0959799,0.00121212,293.358
0.0964824,0.00121212,293.355
0.0969849,0.00121212,293.353
0.0974874,0.00121212,293.35
0.0979899,0.00121212,293.349
0.0984925,0.00121212,293.347
0.098995,0.00121212,293.346
0.0994975,0.00121212,293.345
0.1,0.00121212,293.344
0,0.00181818,293.35
0.000502513,0.00181818,293.351
0.00100503,0.00181818,293.351
0.00150754,0.00181818,293.353
0.00201005,0.00181818,293.354
0.00251256,0.00181818,293.356
0.00301508,0.00181818,293.359
0.00351759,0.00181818,293.362
0.0040201,0.00181818,293.365
0.00452261,0.00181818,293.368
0.00502513,0.00181818,293.372
0.00552764,0.00181818,293.376
0.00603015,0.00181818,293.381
0.00653266,0.00181818,293.386
0.00703518,0.00181818,293.392
0.00753769,0.00181818,293.397
0.0080402,0.00181818,293.403
0.00854271,0.00181818,293.41
0.00904523,0.00181818,293.417
0.00954774,0.00181818,293.424
0.0100503,0.00181818,293.432
0.0105528,0.00181818,293.44
0.0110553,0.00181818,293.449
0.0115578,0.00181818,293.458
0.0120603,0.00181818,293.467
0.0125628,0.00181818,293.477
0.0130653,0.00181818,293.487
0.0135678,0.00181818,293.497
0.0140704,0.00181818,293.508
0.0145729,0.00181818,293.519
0.0150754,0.00181818,293.531
0.0155779,0.00181818,293.543
0.0160804,0.00181818,293.556
0.0165829,0.00181818,293.569
0.0170854,0.00181818,293.582
0.0175879,0.00181818,293.595
0.0180905,0.00181818,293.609
0.018593,0.00181818,293.624
0.0190955,0.00181818,293.638
0.019598,0.00181818,293.653
0.0201005,0.00181818,293.669
0.020603,0.00181818,293.684
0.0211055,0.00181818,293.7
0.021608,0.00181818,293.717
0.0221106,0.00181818,293.734
0.0226131,0.00181818,293.75
0.0231156,0.00181818,293.768
0.0236181,0.00181818,293.785
0.0241206,0.00181818,293.803
0.0246231,0.00181818,293.821
0.0251256,0.00181818,293.839
0.0256281,0.00181818,293.858
0.0261307,0.00181818,293.876
0.0266332,0.00181818,293.895
0.0271357,0.00181818,293.914
0.0276382,0.00181818,293.933
0.0281407,0.00181818,293.952
0.0286432,0.00181818,293.971
0.0291457,0.00181818,293.99
0.0296482,0.00181818,294.01
0.0301508,0.00181818,294.029
0.0306533,0.00181818,294.048
0.0311558,0.00181818,294.067
0.0316583,0.00181818,294.086
0.0321608,0.00181818,294.105
0.0326633,0.00181818,294.124
0.0331658,0.00181818,294.143
0.0336683,0.00181818,294.161
0.0341709,0.00181818,294.18
0.0346734,0.00181818,294.198
0.0351759,0.00181818,294.215
0.0356784,0.00181818,294.233
0.0361809,0.00181818,294.25
0.0366834,0.00181818,294.267
0.0371859,0.00181818,294.283
0.0376884,0.00181818,294.299
0.038191,0.00181818,294.314
0.0386935,0.00181818,294.329
0.039196,0.00181818,294.344
0.0396985,0.00181818,294.358
0.040201,0.00181818,294.371
0.0407035,0.00181818,294.384
0.041206,0.00181818,294.396
0.0417085,0.00181818,294.408
0.0422111,0.00181818,294.419
0.0427136,0.00181818,294.43
0.0432161,0.00181818,294.44
0.0437186,0.00181818,294.449
0.0442211,0.00181818,294.457
0.0447236,0.00181818,294.465
0.0452261,0.00181818,294.472
0.0457286,0.00181818,294.479
0.0462312,0.00181818,294.484
0.0467337,0.00181818,294.489
0.0472362,0.00181818,294.493
0.0477387,0.00181818,294.497
0.0482412,0.00181818,294.499
0.0487437,0.00181818,294.501
0.0492462,0.00181818,294.503
0.0497487,0.00181818,294.503
0.0502513,0.00181818,294.503
0.0507538,0.00181818,294.502
0.0512563,0.00181818,294.5
0.0517588,0.00181818,294.497
0.0522613,0.00181818,294.494
0.0527638,0.00181818,294.49
0.0532663,0.00181818,294.485
0.0537688,0.00181818,294.479
0.0542714,0.00181818,294.473
0.0547739,0.00181818,294.466
0.0552764,0.00181818,294.458
0.0557789,0.00181818,294.45
0.0562814,0.00181818,294.441
0.0567839,0.00181818,294.431
0.0572864,0.00181818,294.421
0.0577889,0.00181818,294.41
0.0582915,0.00181818,294.398
0.058794,0.00181818,294.386
0.0592965,0.00181818,294.373
0.059799,0.00181818,294.36
